location,date,T_air_only_F,T_old_F,T_new_F,delta_new_minus_old_F,delta_old_minus_air_F,delta_new_minus_air_F,Q_ground_Wm2
Waco,2026-04-26,83.5,39.11,38.41,-0.7,-44.39,-45.09,-37.72
Waco,2026-04-27,80.0,62.04,61.83,-0.2,-17.96,-18.17,10.6
Waco,2026-04-28,80.5,72.57,72.5,-0.07,-7.93,-8.0,2.21
Waco,2026-04-29,74.5,76.48,76.41,-0.07,1.98,1.91,-1.61
Waco,2026-04-30,69.0,74.24,74.15,-0.09,5.24,5.15,-3.01
Waco,2026-05-01,63.0,66.19,66.11,-0.08,3.19,3.11,-2.2
Waco,2026-05-02,60.5,61.65,61.63,-0.02,1.15,1.13,0.68
Waco,2026-05-03,55.0,62.65,62.67,0.03,7.65,7.67,2.28
Palm Springs,2026-04-26,69.0,88.91,88.73,-0.18,19.91,19.73,-8.64
Palm Springs,2026-04-27,67.5,83.46,83.34,-0.13,15.96,15.84,-1.44
Palm Springs,2026-04-28,72.5,83.79,83.68,-0.11,11.29,11.18,-0.93
Palm Springs,2026-04-29,77.0,80.06,79.98,-0.09,3.06,2.98,-0.96
Palm Springs,2026-04-30,76.0,74.05,73.99,-0.06,-1.95,-2.01,-0.62
Palm Springs,2026-05-01,81.0,77.9,77.87,-0.03,-3.1,-3.13,-0.06
Palm Springs,2026-05-02,84.0,80.25,80.22,-0.03,-3.75,-3.78,-0.42
Palm Springs,2026-05-03,79.0,78.96,78.94,-0.03,-0.04,-0.06,-0.64
Lemoore,2026-04-26,63.0,113.15,112.72,-0.43,50.15,49.72,-22.95
Lemoore,2026-04-27,59.5,96.38,95.9,-0.48,36.88,36.4,-14.25
Lemoore,2026-04-28,61.0,88.8,88.33,-0.47,27.8,27.33,-9.29
Lemoore,2026-04-29,66.0,85.14,84.7,-0.44,19.14,18.7,-7.06
Lemoore,2026-04-30,70.0,83.47,83.07,-0.4,13.47,13.07,-5.99
Lemoore,2026-05-01,72.5,82.97,82.6,-0.37,10.47,10.1,-5.5
Lemoore,2026-05-02,73.5,82.07,81.73,-0.34,8.57,8.23,-5.36
Lemoore,2026-05-03,66.0,80.35,80.03,-0.32,14.35,14.03,-5.11
Atlantic Park Virginia Beach,2026-04-26,52.5,-22.64,-23.02,-0.38,-75.14,-75.52,-18.49
Atlantic Park Virginia Beach,2026-04-27,54.5,16.99,17.13,0.13,-37.51,-37.37,17.13
Atlantic Park Virginia Beach,2026-04-28,58.0,32.6,32.88,0.28,-25.4,-25.12,8.93
Atlantic Park Virginia Beach,2026-04-29,62.0,45.49,45.79,0.3,-16.51,-16.21,5.71
Atlantic Park Virginia Beach,2026-04-30,63.0,52.48,52.71,0.23,-10.52,-10.29,3.07
Atlantic Park Virginia Beach,2026-05-01,60.0,58.82,58.98,0.16,-1.18,-1.02,1.65
Atlantic Park Virginia Beach,2026-05-02,59.0,61.75,61.84,0.09,2.75,2.84,0.37
Atlantic Park Virginia Beach,2026-05-03,55.5,63.21,63.26,0.05,7.71,7.76,-0.21
Oceanside,2026-04-26,62.5,42.29,41.99,-0.3,-20.21,-20.51,-12.04
Oceanside,2026-04-27,60.0,54.9,54.82,-0.08,-5.1,-5.18,3.51
Oceanside,2026-04-28,59.5,62.44,62.43,-0.01,2.94,2.93,1.5
Oceanside,2026-04-29,61.0,64.85,64.85,0.0,3.85,3.85,0.31
Oceanside,2026-04-30,61.5,63.0,63.0,0.0,1.5,1.5,-0.07
Oceanside,2026-05-01,62.0,68.49,68.5,0.01,6.49,6.5,0.22
Oceanside,2026-05-02,63.0,71.47,71.46,-0.01,8.47,8.46,-0.64
Oceanside,2026-05-03,62.0,71.2,71.16,-0.04,9.2,9.16,-1.1
